ID,Paper,No,Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,alpha_x,beta_x,alpha_l,beta_l
8,suzuki97,2,HE20,n,G1/G0,6,20Ne,10,m,105,61.4,0.113,0.168,1.542,0.261
8,suzuki97,3,HE20,n,G1/G0,6,20Ne,10,m,131,46.7,0.113,0.168,2.283,0
8,suzuki97,4,HE20,n,G1/G0,6,20Ne,10,m,191,29,0.113,0.168,2.158,0
8,suzuki97,5,HE20,n,G1/G0,6,20Ne,10,m,234,22.7,0.113,0.168,1.827,0
8,suzuki97,6,HE20,n,G1/G0,6,20Ne,10,m,285,17.8,0.113,0.168,1.592,0
8,suzuki97,7,HE20,n,G1/G0,6,20Ne,10,m,335,14.3,0.113,0.168,1.149,0.184
9,bettega98,1,C3H1OT1/2,n,a,5.6,1H,1,m,11,3.18,0.24,0.016,0.47,0.019
9,bettega98,2,C3H1OT1/2,n,a,5.6,1H,1,m,19.7,1.46,0.24,0.016,0.43,0.038
9,bettega98,3,C3H1OT1/2,n,a,5.6,1H,1,m,28.8,0.87,0.24,0.016,0.55,0.053
9,bettega98,4,C3H1OT1/2,n,a,5.6,1H,1,m,31.6,0.77,0.24,0.016,0.67,0
9,bettega98,5,C3H1OT1/2,n,a,5.6,1H,1,m,32.5,0.74,0.24,0.016,0.75,0
9,bettega98,6,C3H1OT1/2,n,a,5.6,1H,1,m,33.2,0.72,0.24,0.016,1.02,0
9,bettega98,7,C3H1OT1/2,n,a,5.6,2H,1,m,6.65,4.89,0.24,0.016,0.4,0.041
9,bettega98,8,C3H1OT1/2,n,a,5.6,2H,1,m,9.15,3.19,0.24,0.016,0.55,0.023
10,tsuboi98,1,NB1RGB,n,a,6,12C,6,m,20,144,0.336,0.0796,0.688,0.0305
10,tsuboi98,2,NB1RGB,n,a,6,12C,6,m,40,57.3,0.336,0.0796,0.795,0.0148
10,tsuboi98,3,NB1RGB,n,a,6,12C,6,m,81,23.8,0.336,0.0796,1.331,0.0146
10,tsuboi98,4,NB1RGB,n,a,6,12C,6,m,105,17.4,0.336,0.0796,1.425,0.0219
10,tsuboi98,5,ONS-76,t,a,6,12C,6,m,20,144,0.188,0.062,0.793,0.0281
10,tsuboi98,6,ONS-76,t,a,6,12C,6,m,40,57.3,0.188,0.062,0.921,0.014
10,tsuboi98,7,ONS-76,t,a,6,12C,6,m,81,23.8,0.188,0.062,1.29,0.0153
10,tsuboi98,8,ONS-76,t,a,6,12C,6,m,105,17.4,0.188,0.062,1.327,0.0113
10,tsuboi98,9,A-172,t,a,6,12C,6,m,20,144,0.405,0.0588,0.896,0.0453
10,tsuboi98,10,A-172,t,a,6,12C,6,m,40,57.3,0.405,0.0588,1.052,0.023
10,tsuboi98,11,A-172,t,a,6,12C,6,m,81,23.8,0.405,0.0588,1.509,0.0138
10,tsuboi98,12,A-172,t,a,6,12C,6,m,105,17.4,0.405,0.0588,1.923,0.0142
10,tsuboi98,13,U251MG,t,a,6,12C,6,m,20,144,0.031,0.0551,0.477,0.0365
10,tsuboi98,14,U251MG,t,a,6,12C,6,m,40,57.3,0.031,0.0551,0.687,0.0261
10,tsuboi98,15,U251MG,t,a,6,12C,6,m,81,23.8,0.031,0.0551,1.127,0.0128
10,tsuboi98,16,U251MG,t,a,6,12C,6,m,105,17.4,0.031,0.0551,1.091,0.0215
10,tsuboi98,17,TK-1,t,a,6,12C,6,m,20,144,0.007,0.0546,0.043,0.0455
10,tsuboi98,18,TK-1,t,a,6,12C,6,m,40,57.3,0.007,0.0546,0.555,0.04
10,tsuboi98,19,TK-1,t,a,6,12C,6,m,81,23.8,0.007,0.0546,1.033,0.0167
10,tsuboi98,20,TK-1,t,a,6,12C,6,m,105,17.4,0.007,0.0546,1.086,0.0221
11,tsuchida98,1,A172,t,a,6,12C,6,m,20,144,0.283,0.095,0.917,0.029
11,tsuchida98,2,A172,t,a,6,12C,6,m,40,57.3,0.283,0.095,0.813,0.103
11,tsuchida98,3,A172,t,a,6,12C,6,m,80,24.1,0.283,0.095,0.475,0.375
11,tsuchida98,4,TK1,t,a,6,12C,6,m,20,144,0.087,0.039,0.388,0.051
11,tsuchida98,5,TK1,t,a,6,12C,6,m,40,57.3,0.087,0.039,0.509,0.064
11,tsuchida98,6,TK1,t,a,6,12C,6,m,80,24.1,0.087,0.039,0.209,0.446
12,weyrather99,1,V79,n,a,5.6,12C,6,m,13.7,266.4,0.093,0.026,0.234,0.03
12,weyrather99,2,V79,n,a,5.6,12C,6,m,16.8,190.7,0.093,0.026,0.226,0.03
12,weyrather99,3,V79,n,a,5.6,12C,6,m,32.4,76.9,0.093,0.026,0.337,0.025
12,weyrather99,4,V79,n,a,5.6,12C,6,m,153.5,11,0.093,0.026,0.91,0.044
12,weyrather99,5,V79,n,a,5.6,12C,6,m,275.1,5.4,0.093,0.026,0.924,0
12,weyrather99,6,V79,n,a,5.6,12C,6,m,339.1,4.2,0.093,0.026,0.639,0.039
12,weyrather99,7,V79,n,a,5.6,12C,6,m,482.7,2.4,0.093,0.026,0.533,0.014
12,weyrather99,8,CHO-K1,n,a,5.6,12C,6,m,13.7,266.4,0.228,0.02,0.414,0.03
12,weyrather99,9,CHO-K1,n,a,5.6,12C,6,m,16.8,190.7,0.228,0.02,0.373,0.041
12,weyrather99,10,CHO-K1,n,a,5.6,12C,6,m,32.4,76.9,0.228,0.02,0.645,0.005
12,weyrather99,11,CHO-K1,n,a,5.6,12C,6,m,103,18,0.228,0.02,0.989,0.192
12,weyrather99,12,CHO-K1,n,a,5.6,12C,6,m,153.5,11,0.228,0.02,1.52,0
12,weyrather99,13,CHO-K1,n,a,5.6,12C,6,m,275.1,5.4,0.228,0.02,1.129,0.015
12,weyrather99,14,CHO-K1,n,a,5.6,12C,6,m,339.1,4.2,0.228,0.02,0.842,0.042
12,weyrather99,15,CHO-K1,n,a,5.6,12C,6,m,482.7,2.4,0.228,0.02,0.697,0.021
12,weyrather99,16,xrs5,n,a,5.6,12C,6,m,13.7,266.4,1.72,0,3.56,0.001
12,weyrather99,17,xrs5,n,a,5.6,12C,6,m,32.4,76.9,1.72,0,2.74,0
12,weyrather99,18,xrs5,n,a,5.6,12C,6,m,153.5,11,1.72,0,2.55,0
12,weyrather99,19,xrs5,n,a,5.6,12C,6,m,275.1,5.4,1.72,0,2.12,0.24
12,weyrather99,20,xrs5,n,a,5.6,12C,6,m,339.1,4.2,1.72,0,1.87,0
12,weyrather99,21,xrs5,n,a,5.6,12C,6,m,482.7,2.4,1.72,0,1.62,0
13,furusawa00,1,V79,n,a,5.6,3He,2,m,18.6,10.1,0.184,0.02,0.225,0.0426
13,furusawa00,2,V79,n,a,5.6,3He,2,m,18.6,10.1,0.184,0.02,0.297,0.0317
