Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,RBE
V79,n,a,5.6,20Ne,10,m,158.0,35.7,3.7642
V79,n,a,5.6,20Ne,10,m,178.0,31.1,3.8686
V79,n,a,5.6,20Ne,10,m,182.0,30.2,3.5922
V79,n,a,5.6,20Ne,10,m,219.0,24.7,3.5369
V79,n,a,5.6,20Ne,10,m,239.0,21.7,3.9969
V79,n,a,5.6,20Ne,10,m,277.0,18.2,3.2205
V79,n,a,5.6,20Ne,10,m,287.0,17.5,3.7242
V79,n,a,5.6,20Ne,10,m,373.0,12.8,2.9747
V79,n,a,5.6,20Ne,10,m,528.0,7.71,2.0749
V79,n,a,5.6,20Ne,10,m,569.0,7.1,1.2583
HSG,n,a,6.0,3He,2,m,18.5,10.2,1.3084
HSG,n,a,6.0,3He,2,m,18.6,10.1,1.4272
HSG,n,a,6.0,3He,2,m,23.6,7.48,1.5062
HSG,n,a,6.0,3He,2,m,24.0,7.3,1.8143
HSG,n,a,6.0,3He,2,m,32.4,4.99,2.165
HSG,n,a,6.0,3He,2,m,33.0,4.89,2.4154
HSG,n,a,6.0,3He,2,m,46.0,3.12,3.1645
HSG,n,a,6.0,3He,2,m,53.8,2.61,3.1401
HSG,n,a,6.0,3He,2,m,54.0,2.6,3.4594
HSG,n,a,6.0,3He,2,m,70.3,1.79,4.0477
HSG,n,a,6.0,3He,2,m,71.0,1.76,4.5458
HSG,n,a,6.0,12C,6,m,22.5,126.0,1.1003
HSG,n,a,6.0,12C,6,m,30.0,82.3,1.2369
HSG,n,a,6.0,12C,6,m,30.3,81.1,1.2678
HSG,n,a,6.0,12C,6,m,30.6,79.9,1.4174
HSG,n,a,6.0,12C,6,m,40.2,55.4,1.8142
HSG,n,a,6.0,12C,6,m,42.5,51.9,1.8145
HSG,n,a,6.0,12C,6,m,50.0,42.1,2.1948
HSG,n,a,6.0,12C,6,m,54.5,37.8,2.2186
HSG,n,a,6.0,12C,6,m,80.6,24.5,2.6167
HSG,n,a,6.0,12C,6,m,88.0,21.9,3.0016
HSG,n,a,6.0,12C,6,m,137.0,12.9,3.3736
HSG,n,a,6.0,12C,6,m,144.0,12.2,2.672
HSG,n,a,6.0,12C,6,m,147.0,11.8,3.0926
HSG,n,a,6.0,12C,6,m,199.0,7.94,3.0463
HSG,n,a,6.0,12C,6,m,247.0,5.84,2.5231
HSG,n,a,6.0,12C,6,m,267.0,5.32,2.8954
HSG,n,a,6.0,12C,6,m,333.0,3.88,2.2306
HSG,n,a,6.0,12C,6,m,360.0,3.42,2.2076
HSG,n,a,6.0,12C,6,m,467.0,2.22,1.9062
HSG,n,a,6.0,12C,6,m,493.0,1.98,1.8389
HSG,n,a,6.0,12C,6,m,502.0,1.92,1.6368
HSG,n,a,6.0,20Ne,10,m,62.0,130.0,1.6526
HSG,n,a,6.0,20Ne,10,m,72.0,103.0,2.4298
HSG,n,a,6.0,20Ne,10,m,74.2,96.7,2.3872
HSG,n,a,6.0,20Ne,10,m,77.0,88.7,2.7215
HSG,n,a,6.0,20Ne,10,m,82.0,81.3,3.1402
HSG,n,a,6.0,20Ne,10,m,83.7,79.3,2.8747
HSG,n,a,6.0,20Ne,10,m,103.0,62.2,3.5498
HSG,n,a,6.0,20Ne,10,m,116.0,54.4,3.3297
HSG,n,a,6.0,20Ne,10,m,166.0,33.8,3.4595
HSG,n,a,6.0,20Ne,10,m,169.0,33.2,3.5619
HSG,n,a,6.0,20Ne,10,m,216.0,25.1,3.2783
HSG,n,a,6.0,20Ne,10,m,339.0,14.3,2.2217
HSG,n,a,6.0,20Ne,10,m,287.0,17.5,2.3733
HSG,n,a,6.0,20Ne,10,m,340.0,14.3,2.1486
HSG,n,a,6.0,20Ne,10,m,343.0,14.1,2.2217
HSG,n,a,6.0,20Ne,10,m,347.0,13.9,2.3326
HSG,n,a,6.0,20Ne,10,m,361.0,13.3,1.8938
HSG,n,a,6.0,20Ne,10,m,373.0,12.8,1.7697
HSG,n,a,6.0,20Ne,10,m,445.0,9.65,1.5465
HSG,n,a,6.0,20Ne,10,m,528.0,7.71,1.4702
HSG,n,a,6.0,20Ne,10,m,654.0,5.58,1.2416
T1,n,a,6.0,12C,6,m,21.8,131.0,1.5277
T1,n,a,6.0,12C,6,m,39.7,56.2,2.119
T1,n,a,6.0,12C,6,m,39.8,56.0,1.7244
T1,n,a,6.0,12C,6,m,61.5,32.4,2.2375
T1,n,a,6.0,12C,6,m,80.4,24.5,3.1843
T1,n,a,6.0,12C,6,m,109.0,16.7,3.6255
T1,n,a,6.0,12C,6,m,144.0,12.2,3.4789
T1,n,a,6.0,12C,6,m,252.0,5.7,3.9336
T1,n,a,6.0,20Ne,10,m,61.9,130.0,2.3147
T1,n,a,6.0,20Ne,10,m,81.6,81.9,2.9793
T1,n,a,6.0,20Ne,10,m,81.8,81.6,2.8936
T1,n,a,6.0,20Ne,10,m,101.0,64.3,2.9793
T1,n,a,6.0,20Ne,10,m,103.0,61.9,3.0243
T1,n,a,6.0,20Ne,10,m,111.0,57.2,3.7383
T1,n,a,6.0,20Ne,10,m,166.0,33.8,3.3435
T1,n,a,6.0,20Ne,10,m,176.0,31.5,3.4788
T1,n,a,6.0,20Ne,10,m,222.0,24.2,3.0552
T1,n,a,6.0,20Ne,10,m,249.0,20.3,2.8124
T1,n,a,6.0,20Ne,10,m,262.0,19.2,2.9218
T1,n,a,6.0,20Ne,10,m,340.0,14.3,2.4973
T1,n,a,6.0,20Ne,10,m,361.0,13.3,2.2883
NB1RGB,n,a,6.0,12C,6,m,13.3,271.2,1.1534
HFL-III,n,a,6.0,12C,6,m,13.3,271.2,1.1691
LC-1sq,t,a,6.0,12C,6,m,13.3,271.2,1.0553
A-549,t,a,6.0,12C,6,m,13.3,271.2,1.232
C32TG,t,a,6.0,12C,6,m,13.3,271.2,1.1432
Marcus,t,a,6.0,12C,6,m,13.3,271.2,1.281
U-251MGKO,t,a,6.0,12C,6,m,13.3,0.0,1.2512
SK-MG-1,t,a,6.0,12C,6,m,13.3,271.2,1.1703
KNS-89,t,a,6.0,12C,6,m,13.3,271.2,1.1469
KS-1,t,a,6.0,12C,6,m,13.3,271.2,1.149
A-172,t,a,6.0,12C,6,m,13.3,271.2,1.3798
ONS-76,t,a,6.0,12C,6,m,13.3,271.2,1.2748
KNS-60,t,a,6.0,12C,6,m,13.3,271.2,1.321
Becker,t,a,6.0,12C,6,m,13.3,271.2,1.0988
T98G,t,a,6.0,12C,6,m,13.3,271.2,1.2689
SF126,t,a,6.0,12C,6,m,13.3,271.2,1.2392
NB1RGB,n,a,6.0,12C,6,m,77.1,25.1,2.5065
HFL-III,n,a,6.0,12C,6,m,77.1,25.1,2.5434
LC-1sq,t,a,6.0,12C,6,m,77.1,25.1,2.2919
A-549,t,a,6.0,12C,6,m,77.1,25.1,2.379
C32TG,t,a,6.0,12C,6,m,77.1,25.1,2.5443
Marcus,t,a,6.0,12C,6,m,77.1,25.1,2.4131
SK-MG-1,t,a,6.0,12C,6,m,77.1,25.1,2.2944
KNS-89,t,a,6.0,12C,6,m,77.1,25.1,2.0578
KS-1,t,a,6.0,12C,6,m,77.1,25.1,2.4049
A-172,t,a,6.0,12C,6,m,77.1,25.1,2.9281
ONS-76,t,a,6.0,12C,6,m,77.1,25.1,2.6755
KNS-60,t,a,6.0,12C,6,m,77.1,25.1,2.6338
Becker,t,a,6.0,12C,6,m,77.1,25.1,2.1293
T98G,t,a,6.0,12C,6,m,77.1,25.1,2.0051
SF126,t,a,6.0,12C,6,m,77.1,25.1,2.1472
HF19,n,a,6.0,1H,1,m,7.7,5.24,0.8595
HF19,n,a,6.0,1H,1,m,19.5,1.54,0.8439
HF19,n,a,6.0,1H,1,m,29.0,0.86,0.8127
M10,n,a,6.0,1H,1,m,9.1,4.29,0.9616
M10,n,a,6.0,1H,1,m,21.4,1.35,0.9424
M10,n,a,6.0,1H,1,m,33.0,0.69,1.7874
SCC25,t,a,6.0,1H,1,m,7.7,5.24,1.0491
SCC25,t,a,6.0,1H,1,m,19.7,1.51,1.288
SCC25,t,a,6.0,1H,1,m,29.5,0.84,1.1993
SQ20B,t,a,6.0,1H,1,m,7.7,5.24,0.9183
SQ20B,t,a,6.0,1H,1,m,19.8,1.5,0.969
SQ20B,t,a,6.0,1H,1,m,30.0,0.81,2.0875
NB1RGB,n,a,6.0,12C,6,m,38.0,61.6,1.6906
NB1RGB,n,a,6.0,12C,6,m,55.0,39.0,1.7504
NB1RGB,n,a,6.0,12C,6,m,84.0,23.5,3.43
NB1RGB,n,a,6.0,12C,6,m,91.0,21.3,3.3508
NB1RGB,n,a,6.0,12C,6,m,94.0,20.5,3.2896
NB1RGB,n,a,6.0,12C,6,m,98.0,19.5,4.0697
NB1RGB,n,a,6.0,12C,6,m,13.0,291.0,1.1109
NB1RGB,n,a,6.0,12C,6,m,19.0,157.0,1.2603
NB1RGB,n,a,6.0,12C,6,m,54.0,39.9,1.9102
NB1RGB,n,a,6.0,12C,6,m,64.0,32.5,2.4108
NB1RGB,n,a,6.0,12C,6,m,73.0,27.8,2.6305
NB1RGB,n,a,6.0,12C,6,m,76.0,26.5,3.3
NB1RGB,n,a,6.0,12C,6,m,80.0,24.9,3.1506
NB1RGB,n,a,6.0,20Ne,10,m,45.0,200.0,1.5098
NB1RGB,n,a,6.0,20Ne,10,m,59.0,134.0,1.6398
NB1RGB,n,a,6.0,20Ne,10,m,77.0,93.0,2.1807
NB1RGB,n,a,6.0,20Ne,10,m,105.0,62.5,2.2509
NB1RGB,n,a,6.0,20Ne,10,m,132.0,47.0,2.8905
NB1RGB,n,a,6.0,20Ne,10,m,158.0,37.7,2.7695
NB1RGB,n,a,6.0,20Ne,10,m,177.0,32.8,3.3897
NB1RGB,n,a,6.0,20Ne,10,m,30.0,415.0,1.4306
NB1RGB,n,a,6.0,20Ne,10,m,44.0,208.0,1.6697
NB1RGB,n,a,6.0,20Ne,10,m,58.0,138.0,2.1
NB1RGB,n,a,6.0,20Ne,10,m,127.0,49.0,2.9802
NB1RGB,n,a,6.0,20Ne,10,m,156.0,38.0,2.8203
NB1RGB,n,a,6.0,20Ne,10,m,184.0,31.0,3.3598
NB1RGB,n,a,6.0,28Si,14,m,55.0,500.0,2.0701
NB1RGB,n,a,6.0,28Si,14,m,59.0,400.0,1.9506
NB1RGB,n,a,6.0,28Si,14,m,69.0,300.0,1.9999
NB1RGB,n,a,6.0,28Si,14,m,113.0,140.0,2.5409
NB1RGB,n,a,6.0,28Si,14,m,145.0,100.0,2.9309
NB1RGB,n,a,6.0,28Si,14,m,173.0,80.0,3.04
NB1RGB,n,a,6.0,28Si,14,m,214.0,60.0,2.9399
NB1RGB,n,a,6.0,56Fe,26,m,200.0,450.0,3.2402
NB1RGB,n,a,6.0,56Fe,26,m,260.0,270.0,3.0206
NB1RGB,n,a,6.0,56Fe,26,m,300.0,210.0,2.78
NB1RGB,n,a,6.0,56Fe,26,m,350.0,165.0,2.6201
NB1RGB,n,a,6.0,56Fe,26,m,400.0,135.0,2.5095
HF19,n,a,6.0,12C,6,m,39.0,59.0,2.6706
HF19,n,a,6.0,12C,6,m,94.0,19.0,1.8899
HF19,n,a,6.0,12C,6,m,222.0,6.7,1.3122
HF19,n,a,6.0,12C,6,m,303.0,4.5,1.3434
M/10,n,a,6.0,12C,6,m,13.0,290.0,1.4845
M/10,n,a,6.0,12C,6,m,24.0,135.0,1.55
M/10,n,a,6.0,12C,6,m,39.0,59.0,2.2161
M/10,n,a,6.0,12C,6,m,94.0,19.0,4.0129
M/10,n,a,6.0,12C,6,m,222.0,6.7,3.193
M/10,n,a,6.0,12C,6,m,303.0,4.5,3.3325
SCC25,t,a,6.0,12C,6,m,13.0,290.0,1.0476
SCC25,t,a,6.0,12C,6,m,24.0,135.0,1.0951
SCC25,t,a,6.0,12C,6,m,94.0,19.0,3.982
SCC25,t,a,6.0,12C,6,m,222.0,6.7,1.4757
SCC25,t,a,6.0,12C,6,m,303.0,4.5,1.3806
SQ20B,t,a,6.0,12C,6,m,13.0,290.0,1.2357
SQ20B,t,a,6.0,12C,6,m,24.0,135.0,1.357
SQ20B,t,a,6.0,12C,6,m,39.0,59.0,2.2375
SQ20B,t,a,6.0,12C,6,m,94.0,19.0,3.8576
SQ20B,t,a,6.0,12C,6,m,222.0,6.7,2.7614
SQ20B,t,a,6.0,12C,6,m,303.0,4.5,2.7236
V79,n,a,5.6,12C,6,m,13.0,290.0,1.1545
V79,n,a,5.6,12C,6,m,24.0,135.0,1.2504
V79,n,a,5.6,12C,6,m,94.0,19.0,3.9572
V79,n,a,5.6,12C,6,m,222.0,6.7,3.1775
V79,n,a,5.6,12C,6,m,303.0,4.5,2.2536
M/10,n,a,6.0,12C,6,s,40.0,57.0,1.5596
M/10,n,a,6.0,12C,6,s,75.0,26.0,2.0756
SCC25,t,a,6.0,12C,6,s,40.0,57.0,1.4916
SCC25,t,a,6.0,12C,6,s,50.0,43.0,1.5392
SCC25,t,a,6.0,12C,6,s,75.0,26.0,1.666
SQ20B,t,a,6.0,12C,6,s,40.0,57.0,1.9609
SQ20B,t,a,6.0,12C,6,s,50.0,43.0,1.9455
SQ20B,t,a,6.0,12C,6,s,75.0,26.0,2.569
V79,n,a,5.6,12C,6,s,40.0,57.0,1.854
V79,n,a,5.6,12C,6,s,50.0,43.0,1.9843
V79,n,a,5.6,12C,6,s,75.0,26.0,2.6042
V79,n,a,5.6,1H,1,m,7.7,5.01,1.061
V79,n,a,5.6,1H,1,m,11.0,3.2,1.3343
V79,n,a,5.6,1H,1,m,20.0,1.41,1.582
V79,n,a,5.6,1H,1,m,30.5,0.76,1.8202
V79,n,a,5.6,1H,1,m,34.6,0.64,1.6487
V79,n,a,5.6,1H,1,m,37.8,0.57,1.4646
V79,n,a,5.6,40Ar,18,s,110.9,330.0,2.5204
V79,n,a,5.6,40Ar,18,s,304.9,72.0,2.4172
V79,n,a,5.6,40Ar,18,s,409.2,48.0,1.5037
V79,n,a,5.6,4He,2,m,19.1,9.93,1.2199
V79,n,a,5.6,7Li,3,m,43.4,9.85,2.3666
V79,n,a,5.6,11B,5,m,129.5,9.17,3.6216
V79,n,a,5.6,12C,6,m,191.0,8.93,3.853
V79,n,a,5.6,20Ne,10,m,656.0,6.15,2.1511
V79,n,a,5.6,40Ar,18,m,2000.0,5.09,1.1094
RAT-1,t,a,5.6,12C,6,m,13.3,270.0,1.1055
RAT-1,t,a,5.6,12C,6,m,26.0,100.0,1.3315
RAT-1,t,a,5.6,12C,6,m,163.0,9.9,3.5686
IEC-6,n,a,5.6,12C,6,m,13.3,270.0,1.038
IEC-6,n,a,5.6,12C,6,m,26.0,100.0,1.2581
IEC-6,n,a,5.6,12C,6,m,163.0,9.9,3.9212
V79,n,a,5.6,1H,1,m,6.0,7.4,1.7674
V79,n,a,5.6,1H,1,m,12.0,3.0,2.1258
EUE,n,a,6.0,1H,1,m,5.8,8.0,1.5232
EUE,n,a,6.0,1H,1,m,4.0,12.0,1.2996
EUE,n,a,6.0,1H,1,m,1.83,31.0,0.6498
V79,n,a,5.6,4He,2,m,20.0,8.8,1.7316
V79,n,a,5.6,4He,2,m,50.0,2.9,3.0371
HF19,n,a,6.0,4He,2,m,28.0,5.9,1.5817
HF19,n,a,6.0,4He,2,m,68.0,1.9,3.2376
V79,n,a,5.6,1H,1,s,2.33,22.8,1.3731
V79,n,a,5.6,1H,1,s,2.73,18.8,1.378
V79,n,a,5.6,1H,1,s,2.89,17.6,1.3786
V79,n,a,5.6,1H,1,s,3.09,16.1,1.3872
V79,n,a,5.6,1H,1,s,3.29,14.75,1.3927
V79,n,a,5.6,1H,1,s,3.44,14.05,1.3949
V79,n,a,5.6,1H,1,s,3.7,12.8,1.3911
V79,n,a,5.6,1H,1,s,4.0,11.6,1.4061
V79,n,a,5.6,1H,1,s,4.41,10.2,1.4122
V79,n,a,5.6,1H,1,s,5.11,8.55,1.4309
V79,n,a,5.6,1H,1,s,6.23,6.8,1.4874
U87-MG,t,a,6.0,12C,6,s,103.0,18.0,2.3844
U87-MG,t,a,6.0,12C,6,m,170.0,9.8,4.115
LN229,t,a,6.0,12C,6,s,103.0,18.0,2.4637
LN229,t,a,6.0,12C,6,m,170.0,9.8,4.0619
SuSa,n,G0/G1,6.0,12C,6,m,24.0,120.0,1.1907
SuSa,n,G0/G1,6.0,12C,6,m,40.0,60.0,1.1907
SuSa,n,G0/G1,6.0,12C,6,m,50.0,43.0,1.2601
SuSa,n,G0/G1,6.0,12C,6,m,60.0,35.0,1.5294
SuSa,n,G0/G1,6.0,56Fe,26,m,200.0,450.0,1.8099
AT1OS,n,G0/G1,6.0,12C,6,m,24.0,120.0,1.3199
AT1OS,n,G0/G1,6.0,12C,6,m,40.0,60.0,1.5898
AT1OS,n,G0/G1,6.0,12C,6,m,50.0,43.0,1.6
AT1OS,n,G0/G1,6.0,12C,6,m,60.0,35.0,1.5
AT1OS,n,G0/G1,6.0,56Fe,26,m,200.0,450.0,1.5398
LS-174T,t,a,6.0,1H,1,s,4.0,11.6,1.2316
V79,n,a,5.6,1H,1,s,4.0,11.6,1.2832
C3H10T1/2,n,a,5.6,12C,6,m,10.5,440.0,1.0362
C3H10T1/2,n,a,5.6,20Ne,10,m,32.0,360.0,1.2677
C3H10T1/2,n,a,5.6,28Si,14,m,51.0,580.0,1.546
C3H10T1/2,n,a,5.6,28Si,14,m,83.0,225.0,2.2102
C3H10T1/2,n,a,5.6,40Ar,18,m,140.0,215.0,2.3786
C3H10T1/2,n,a,5.6,56Fe,26,m,198.0,460.0,2.5287
C3H10T1/2,n,a,5.6,56Fe,26,m,290.0,220.0,1.5892
C3H10T1/2,n,a,5.6,56Fe,26,m,480.0,103.0,1.7963
C3H10T1/2,n,a,5.6,238U,92,m,2080.0,990.0,0.8927
C3H10T1/2,n,a,5.6,2H,1,m,3.8,12.9,0.7749
C3H10T1/2,n,a,5.6,1H,1,m,15.0,2.25,2.3134
C3H10T1/2,n,a,5.6,2H,1,m,40.0,0.275,3.3141
C3H10T1/2,n,a,5.6,3He,2,m,75.0,1.67,4.2985
C3H10T1/2,n,a,5.6,4He,2,m,90.0,1.28,3.4101
C3H10T1/2,n,a,5.6,4He,2,m,120.0,0.83,4.8508
C3H10T1/2,n,a,5.6,4He,2,m,150.0,0.59,5.0909
C3H10T1/2,n,a,5.6,4He,2,m,200.0,0.36,3.5062
C3H10T1/2,n,a,5.6,12C,6,m,265.0,5.36,4.2745
C3H10T1/2,n,a,5.6,16O,8,m,418.0,6.04,2.3538
CHO,n,a,5.6,12C,6,m,438.0,2.78,2.6518
CHO,n,a,5.6,12C,6,m,576.0,1.69,2.1346
CHO,n,a,5.6,20Ne,10,m,1017.0,2.81,1.4265
CHO,n,a,5.6,20Ne,10,m,1245.0,1.74,1.2051
A549,t,a,6.0,12C,6,m,168.0,9.9,2.9518
V79,n,a,5.6,12C,6,m,13.0,283.0,1.055
V79,n,a,5.6,12C,6,m,30.0,83.0,1.4797
V79,n,a,5.6,12C,6,m,60.0,35.0,2.5456
V79,n,a,5.6,12C,6,m,110.0,16.0,3.0769
V79,n,a,5.6,12C,6,m,152.0,11.0,3.1741
V79,n,a,5.6,12C,6,m,237.0,6.4,2.1683
SHE,n,a,5.6,12C,6,m,13.0,283.0,1.2698
SHE,n,a,5.6,12C,6,m,50.0,43.0,1.863
SHE,n,a,5.6,12C,6,m,100.0,18.5,2.5026
SHE,n,a,5.6,26Si,14,m,150.0,95.0,2.1416
SHE,n,a,5.6,26Si,14,m,240.0,50.0,1.8237
SHE,n,a,5.6,26Si,14,m,400.0,25.0,1.4725
H1299,t,a,6.0,12C,6,m,13.0,280.0,1.1005
H1299,t,a,6.0,20Ne,10,m,35.0,300.0,1.4322
H1299,t,a,6.0,26Si,14,m,55.0,500.0,1.6041
H1299,t,a,6.0,40Ar,18,m,85.0,600.0,1.6811
H1299,t,a,6.0,56Fe,26,m,200.0,450.0,2.0552
H1299,t,a,6.0,12C,6,m,30.0,80.0,0.6336
H1299,t,a,6.0,12C,6,m,70.0,28.0,1.789
H1299,t,a,6.0,12C,6,m,100.0,20.0,2.3487
V79,n,a,5.6,4He,2,m,110.0,1.625,6.3854
T1,n,a,6.0,4He,2,m,25.0,6.8,1.69
T1,n,a,6.0,4He,2,m,61.0,2.2,2.9814
T1,n,a,6.0,4He,2,m,88.0,1.3,3.7861
T1,n,a,6.0,4He,2,m,110.0,0.93,4.4379
T1,n,a,6.0,4He,2,m,165.0,0.46,3.0842
C3H10T1/2,n,a,6.0,2H,1,m,40.0,0.55,0.9578
V79,n,S,5.6,40Ar,18,m,370.0,55.0,2.5253
HF19,n,a,6.0,4He,2,m,20.0,8.8,1.3674
HF19,n,a,6.0,4He,2,m,50.0,2.8,2.4836
HF19,n,a,6.0,4He,2,m,90.0,1.24,3.9635
HF19,n,a,6.0,11B,5,m,110.0,10.3,3.7127
HF19,n,a,6.0,11B,5,m,160.0,6.6,3.4995
HF19,n,a,6.0,11B,5,m,200.0,5.0,2.5086
HF19,n,a,6.0,14N,7,m,470.0,3.8,1.7311
HL-60,t,a,6.0,12C,6,m,20.0,126.0,1.7311
HL-60,t,a,6.0,12C,6,m,60.0,32.0,2.8343
HL-60,t,a,6.0,12C,6,m,80.0,26.0,2.6514
HL-60,t,a,6.0,26Si,14,m,100.0,143.0,2.6607
HL-60,t,a,6.0,26Si,14,m,200.0,57.0,2.6756
HL-60,t,a,6.0,26Si,14,m,300.0,30.0,2.2071
HL-60,t,a,6.0,56Fe,26,m,440.0,100.0,1.3579
V79,n,a,5.6,14N,7,m,78.0,37.0,2.4064
V79,n,a,5.6,14N,7,m,165.0,14.4,3.1141
V79,n,a,5.6,4He,2,m,6.0,39.0,1.7227
V79,n,a,5.6,4He,2,m,28.0,5.9,2.1178
V79,n,a,5.6,4He,2,m,70.0,1.8,3.3316
V79,n,a,5.6,4He,2,m,90.0,1.24,4.0252
V79,n,a,5.6,11B,5,m,110.0,10.3,2.7098
V79,n,a,5.6,11B,5,m,200.0,5.0,3.7651
V79,n,a,5.6,14N,7,m,470.0,3.8,2.3481
V79,n,a,5.6,12C,6,m,20.0,144.0,0.8835
V79,n,a,5.6,56Fe,26,m,200.0,416.0,3.0286
V79,n,a,5.6,56Fe,26,m,797.0,53.0,1.5152
V79,n,a,5.6,56Fe,26,m,1298.0,29.0,1.1979
V79,n,a,5.6,56Fe,26,m,2106.0,16.0,0.9682
CHO,n,a,5.6,12C,6,m,79.6,24.0,2.1751
R-1,t,a,5.6,12C,6,s,11.0,389.0,1.336
R-1,t,a,5.6,12C,6,s,16.0,200.0,1.3977
R-1,t,a,5.6,12C,6,s,30.5,81.0,1.4867
R-1,t,a,5.6,12C,6,s,36.0,65.5,1.5739
R-1,t,a,5.6,12C,6,s,38.0,61.0,1.5497
R-1,t,a,5.6,12C,6,s,46.0,48.0,1.6979
R-1,t,a,5.6,12C,6,s,52.5,40.5,1.6555
R-1,t,a,5.6,12C,6,s,64.0,32.0,1.4333
R-1,t,a,5.6,12C,6,s,75.0,26.0,1.907
R-1,t,a,5.6,12C,6,s,90.0,21.0,2.1128
R-1,t,a,5.6,12C,6,s,95.0,19.5,1.9328
R-1,t,a,5.6,20Ne,10,s,31.0,379.0,1.6202
R-1,t,a,5.6,20Ne,10,s,35.0,299.0,1.3777
R-1,t,a,5.6,20Ne,10,s,58.5,133.0,1.5968
R-1,t,a,5.6,20Ne,10,s,70.0,105.0,1.6848
R-1,t,a,5.6,20Ne,10,s,74.0,97.0,1.9374
R-1,t,a,5.6,20Ne,10,s,90.0,75.0,1.3245
R-1,t,a,5.6,20Ne,10,s,120.0,52.0,2.2388
R-1,t,a,5.6,20Ne,10,s,122.5,50.0,2.0255
