Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,RBE
R-1,t,a,5.6,20Ne,10,s,150.0,39.0,1.8882
R-1,t,a,5.6,20Ne,10,s,177.5,32.0,2.6795
R-1,t,a,5.6,20Ne,10,s,185.0,30.0,2.008
R-1,t,a,5.6,40Ar,18,s,95.0,428.0,2.3459
R-1,t,a,5.6,40Ar,18,s,210.0,116.5,2.4544
R-1,t,a,5.6,40Ar,18,s,280.0,79.0,2.5188
R-1,t,a,5.6,40Ar,18,s,430.0,46.0,2.3966
R-1,t,a,5.6,40Ar,18,s,540.0,34.5,2.1129
R-1,t,a,5.6,40Ar,18,s,750.0,22.0,2.0285
V79,n,a,5.6,12C,6,m,27.5,92.5,1.589
V79,n,a,5.6,12C,6,m,153.0,10.2,2.6971
AG1522B,n,a,6.0,12C,6,m,153.5,11.0,2.2823
AG1522B,n,a,6.0,12C,6,m,16.6,195.0,1.2283
AG1522B,n,a,6.0,58Ni,28,m,2455.0,9.9,0.5596
PS1,n,a,6.0,12C,6,m,16.6,195.0,1.0199
B14FAF28,n,a,5.6,40Ar,18,m,1950.0,3.88,0.5408
B14FAF28,n,a,5.6,40Ar,18,m,1800.0,4.64,0.6506
B14FAF28,n,a,5.6,40Ar,18,m,1350.0,8.4,1.0091
B14FAF28,n,a,5.6,40Ar,18,m,1280.0,9.24,1.0343
B14FAF28,n,a,5.6,48Ti,22,m,2710.0,3.68,0.5251
B14FAF28,n,a,5.6,48Ti,22,m,2140.0,7.03,0.4907
B14FAF28,n,a,5.6,58Ni,28,m,3910.0,3.6,0.295
B14FAF28,n,a,5.6,84Kr,36,m,5600.0,3.17,0.2128
B14FAF28,n,a,5.6,84Kr,36,m,4700.0,7.0,0.4221
B14FAF28,n,a,5.6,132Xe,54,m,4100.0,0.24,0.4252
B14FAF28,n,a,5.6,132Xe,54,m,8800.0,5.2,0.1919
B14FAF28,n,a,5.6,132Xe,54,m,8700.0,5.71,0.1367
B14FAF28,n,a,5.6,132Xe,54,m,8200.0,7.29,0.1889
B14FAF28,n,a,5.6,132Xe,54,m,8000.0,8.16,0.1771
B14FAF28,n,a,5.6,142Nd,60,m,10590.0,3.17,0.1625
B14FAF28,n,a,5.6,208Pb,82,m,5400.0,0.26,0.1452
B14FAF28,n,a,5.6,208Pb,82,m,14200.0,3.58,0.1596
B14FAF28,n,a,5.6,208Pb,82,m,13900.0,7.81,0.1712
B14FAF28,n,a,5.6,238U,92,m,6500.0,0.3,0.1201
B14FAF28,n,a,5.6,238U,92,m,14500.0,1.95,0.1067
B14FAF28,n,a,5.6,238U,92,m,15500.0,3.16,0.1147
